file,cve_id,event_name,change_id,source,created,action,detail_type,old_shape,new_shape,same_after_normalization,old_value,new_value
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2023-3080,CPE Deprecation Remap,D925C078-159C-4287-BCFC-7E7314CE47A5,nvd@nist.gov,2024-01-02T16:28:55.030,Changed,CPE Configuration,string,string,False,OR *cpe:2.3:a:wp_mail_catcher_project:wp_mail_catcher:*:*:*:*:*:wordpress:*:* versions from (excluding) 2.1.3,OR *cpe:2.3:a:jamesward:wp_mail_catcher:*:*:*:*:*:wordpress:*:* versions from (excluding) 2.1.3
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2021-45967,Reanalysis,8A541041-7328-449B-B528-F5111CA8AA5D,nvd@nist.gov,2024-01-03T18:55:26.937,Changed,CPE Configuration,string,string,False,OR *cpe:2.3:a:pascom_cloud_phone_system:*:*:*:*:*:*:*:*:* versions up to (including) 7.19,OR *cpe:2.3:a:pascom:cloud_phone_system:*:*:*:*:*:*:*:* versions up to (including) 7.19
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2019-15592,Reanalysis,D0BC97FF-B2B9-426B-BDAA-ED6410C38871,nvd@nist.gov,2024-01-03T18:55:45.163,Changed,CPE Configuration,string,string,False,OR *cpe:2.3:a:gitlab:gitlab:*:*:*:*:*:*:*:*,OR *cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:* versions from (including) 11.2.0 up to (excluding) 12.0.8 *cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:* versions from (including) 11.2.0 up to (excluding) 12.0.8 *cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:* versions from (including) 12.1.0 up to (excluding) 12.1.8 *cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:* versions from (including) 12.1.0 up to (excluding) 12.1.8 *cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:* versions from (inc...[TRUNCATED]
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2022-2389,CPE Deprecation Remap,3B7E46F1-1E0D-4D96-8E6F-4B49D6418BD0,nvd@nist.gov,2024-01-04T15:17:19.940,Changed,CPE Configuration,string,string,False,OR *cpe:2.3:a:buildwoofunnels:autonami:*:*:*:*:*:wordpress:*:* versions from (excluding) 2.1.2,OR *cpe:2.3:a:funnelkit:funnelkit_automations:*:*:*:*:*:wordpress:*:* versions from (excluding) 2.1.2
data\raw\nvd\history\20240101_20240429_0000000.json,CVE-2014-6059,CPE Deprecation Remap,98DD9D00-414B-4493-95AA-893BEAC9725A,nvd@nist.gov,2024-01-05T14:36:21.020,Changed,CPE Configuration,string,string,False,OR *cpe:2.3:a:advanced_access_manager_project:advanced_access_manager:*:*:*:*:*:wordpress:*:* versions from (excluding) 2.8.2,OR *cpe:2.3:a:vasyltech:advanced_access_manager:*:*:*:*:*:wordpress:*:* versions from (excluding) 2.8.2
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2023-46805,CVE CISA KEV Update,CFA0468D-416F-44BA-905A-A50CD5ADA238,9119a7d8-5eab-497f-8521-727c672e3725,2024-01-19T02:00:02.097,Changed,Due Date,string,string,False,2024-01-31,2024-01-22
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2024-21887,CVE CISA KEV Update,A082207F-FBC9-4030-B14F-0FDAE5789B9A,9119a7d8-5eab-497f-8521-727c672e3725,2024-01-19T02:00:02.523,Changed,Due Date,string,string,False,2024-01-31,2024-01-22
data\raw\nvd\history\20240828_20241225_0005000.json,CVE-2019-1069,CVE CISA KEV Update,F1FFF475-A695-4E2C-A662-267D65C8D077,9119a7d8-5eab-497f-8521-727c672e3725,2024-09-19T01:00:03.257,Changed,Due Date,string,string,False,2022-04-05,2024-10-09
data\raw\nvd\history\20240828_20241225_0005000.json,CVE-2019-1069,CVE CISA KEV Update,4C5BD64C-F059-4C85-814F-88F203CD4FA1,9119a7d8-5eab-497f-8521-727c672e3725,2024-09-20T01:00:01.483,Changed,Due Date,string,string,False,2024-10-09,2022-04-05
data\raw\nvd\history\20250425_20250822_0000000.json,CVE-2025-3928,CVE CISA KEV Update,A0349C3E-3276-4517-8DC5-77F619D9633B,9119a7d8-5eab-497f-8521-727c672e3725,2025-04-30T01:00:02.513,Changed,Due Date,string,string,False,2025-05-17,2025-05-19
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2006-2916,Modified Analysis,FF51E1A4-5E72-4EDA-83E4-5D4663E31975,nvd@nist.gov,2024-01-21T01:42:33.747,Changed,Evaluator Solution,string,string,True,Product is only vulnerable when running setuid root on Linux 2.6.0 or later versions. Vendor links provide patches for each affected version.,Product is only vulnerable when running setuid root on Linux 2.6.0 or later versions. Vendor links provide patches for each affected version.
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2003-0899,Modified Analysis,9A902C2F-F18A-4EB3-BFED-D38C26516F71,nvd@nist.gov,2024-02-02T14:01:01.903,Changed,Evaluator Solution,string,string,True,"This vulnerability is addressed in the following product release: Acme Labs, thttpd, 2.24","This vulnerability is addressed in the following product release: Acme Labs, thttpd, 2.24"
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2010-0378,Modified Analysis,6F62B9F7-2DC3-4B87-8B1E-A99AEB2DE62E,nvd@nist.gov,2024-02-03T02:21:08.600,Changed,Evaluator Solution,string,string,True,"Per: http://www.microsoft.com/technet/security/advisory/979267.mspx "" Suggested Actions Perform one or both of the following steps: • Uninstall the Adobe Flash Player version 6. • Install the most current version of Flash Player available from Adobe.""","Per: http://www.microsoft.com/technet/security/advisory/979267.mspx "" Suggested Actions Perform one or both of the following steps: • Uninstall the Adobe Flash Player version 6. • Install the most current version of Flash Player available from Adobe."""
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2010-0050,Modified Analysis,DBFC2BC1-02F5-4BD7-A702-30926A82E5CA,nvd@nist.gov,2024-02-03T02:24:33.557,Changed,Evaluator Solution,string,string,True,"Per: http://lists.apple.com/archives/security-announce/2010/Mar/msg00000.html 'Safari 4.0.5 is available via the Apple Software Update application, or Apple's Safari download site at: http://www.apple.com/safari/download/'","Per: http://lists.apple.com/archives/security-announce/2010/Mar/msg00000.html 'Safari 4.0.5 is available via the Apple Software Update application, or Apple's Safari download site at: http://www.apple.com/safari/download/'"
data\raw\nvd\history\20240101_20240429_0010000.json,CVE-2007-0897,Modified Analysis,635B3A39-5C16-4D08-BD9B-D0A87DE669B2,nvd@nist.gov,2024-02-09T02:48:50.810,Changed,Evaluator Solution,string,string,True,"This vulnerability is addressed in the following product release: Clam AntiVirus, ClamAV, 0.90 Stable","This vulnerability is addressed in the following product release: Clam AntiVirus, ClamAV, 0.90 Stable"
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2009-0244,Modified Analysis,B48C1C94-F494-4B30-B1A8-702D80DB8370,nvd@nist.gov,2024-01-26T17:53:29.510,Changed,Evaluator Impact,string,string,True,"per: http://www.seguridadmobile.com/windows-mobile/windows-mobile-security/Microsoft-Bluetooth-Stack-Directory-Traversal.html ""Non vulnerable products: Windows Mobile devices 5.0 and 6 not using Microsoft Bluetooth Stack (for example: ASUS P525, ASUS P535, ... using Widcomm/Broadcom Bluetooth Stack)""","per: http://www.seguridadmobile.com/windows-mobile/windows-mobile-security/Microsoft-Bluetooth-Stack-Directory-Traversal.html ""Non vulnerable products: Windows Mobile devices 5.0 and 6 not using Microsoft Bluetooth Stack (for example: ASUS P525, ASUS P535, ... using Widcomm/Broadcom Bluetooth Stack)"""
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2007-4268,Modified Analysis,5CBA3D70-3B45-4512-B32C-DAC1A481A749,nvd@nist.gov,2024-02-02T02:35:40.727,Changed,Evaluator Impact,string,string,True,"""By sending a maliciously crafted AppleTalk message, a local user may cause an unexpected system shutdown or arbitrary code execution with system privileges.""","""By sending a maliciously crafted AppleTalk message, a local user may cause an unexpected system shutdown or arbitrary code execution with system privileges."""
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2013-3301,Modified Analysis,F21871BB-76A9-4E88-9065-E442D930ECE4,nvd@nist.gov,2024-02-02T16:33:41.397,Changed,Evaluator Impact,string,string,True,"Per https://access.redhat.com/security/cve/CVE-2013-3301 ""This issue affects the versions of Linux kernel as shipped with Red Hat Enterprise Linux 6 and Red Hat Enterprise MRG 2. Future kernel updates for Red Hat Enterprise Linux 6 and Red Hat Enterprise MRG 2 may address this issue.""","Per https://access.redhat.com/security/cve/CVE-2013-3301 ""This issue affects the versions of Linux kernel as shipped with Red Hat Enterprise Linux 6 and Red Hat Enterprise MRG 2. Future kernel updates for Red Hat Enterprise Linux 6 and Red Hat Enterprise MRG 2 may address this issue."""
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2010-2547,Modified Analysis,16ED219A-EF70-48EC-AC2E-78B38952C4F1,nvd@nist.gov,2024-02-02T16:34:14.227,Changed,Evaluator Impact,string,string,True,Per: http://lists.gnupg.org/pipermail/gnupg-announce/2010q3/000302.html 'GnuPG 1.x is NOT affected because it does not come with the GPGSM tool.',Per: http://lists.gnupg.org/pipermail/gnupg-announce/2010q3/000302.html 'GnuPG 1.x is NOT affected because it does not come with the GPGSM tool.'
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2010-0629,Modified Analysis,0C36CDDD-A708-4AFF-9E4B-D069398DB65B,nvd@nist.gov,2024-02-02T16:52:02.487,Changed,Evaluator Impact,string,string,True,Per: http://web.mit.edu/kerberos/advisories/MITKRB5-SA-2010-003.txt 'AFFECTED SOFTWARE ================= * kadmind in MIT releases krb5-1.5 through krb5-1.6.3.',Per: http://web.mit.edu/kerberos/advisories/MITKRB5-SA-2010-003.txt 'AFFECTED SOFTWARE ================= * kadmind in MIT releases krb5-1.5 through krb5-1.6.3.'
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2014-3631,Modified Analysis,5F0994E8-DAAB-4AE3-AC3D-865139DC507A,nvd@nist.gov,2024-02-02T16:33:35.667,Changed,Evaluator Description,string,string,False,"<a href=""http://cwe.mitre.org/data/definitions/476.html"" target=""_blank"">CWE-476: NULL Pointer Dereference</a>",CWE-476: NULL Pointer Dereference
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2010-0378,Modified Analysis,6F62B9F7-2DC3-4B87-8B1E-A99AEB2DE62E,nvd@nist.gov,2024-02-03T02:21:08.600,Changed,Evaluator Description,string,string,True,Per: http://cwe.mitre.org/data/definitions/416.html CWE-416 Use-After Free Vulnerability,Per: http://cwe.mitre.org/data/definitions/416.html CWE-416 Use-After Free Vulnerability
data\raw\nvd\history\20240101_20240429_0005000.json,CVE-2010-0050,Modified Analysis,DBFC2BC1-02F5-4BD7-A702-30926A82E5CA,nvd@nist.gov,2024-02-03T02:24:33.557,Changed,Evaluator Description,string,string,True,"Per: http://lists.apple.com/archives/security-announce/2010/Mar/msg00000.html 'WebKit CVE-ID: CVE-2010-0050 Available for: Mac OS X v10.4.11, Mac OS X Server v10.4.11, Mac OS X v10.5.8, Mac OS X Server v10.5.8, Mac OS X v10.6.1 or later, Mac OS X Server v10.6.1 or later, Windows 7, Vista, XP Impact: Visiting a maliciously crafted website may lead to an unexpected application termination or arbitrary code execution Description: A use-after-free issue exists in WebKit's handling of incorrectly nes...[TRUNCATED]","Per: http://lists.apple.com/archives/security-announce/2010/Mar/msg00000.html 'WebKit CVE-ID: CVE-2010-0050 Available for: Mac OS X v10.4.11, Mac OS X Server v10.4.11, Mac OS X v10.5.8, Mac OS X Server v10.5.8, Mac OS X v10.6.1 or later, Mac OS X Server v10.6.1 or later, Windows 7, Vista, XP Impact: Visiting a maliciously crafted website may lead to an unexpected application termination or arbitrary code execution Description: A use-after-free issue exists in WebKit's handling of incorrectly nes...[TRUNCATED]"
data\raw\nvd\history\20240101_20240429_0010000.json,CVE-2016-4029,Modified Analysis,25FDD671-530B-44CC-ACFC-277792DAAD72,nvd@nist.gov,2024-02-08T19:56:14.487,Changed,Evaluator Description,string,string,False,"<a href=""https://cwe.mitre.org/data/definitions/918.html"">CWE-918: Server-Side Request Forgery (SSRF)</a>",CWE-918: Server-Side Request Forgery (SSRF)
data\raw\nvd\history\20240101_20240429_0010000.json,CVE-2010-0249,Modified Analysis,6979873F-214D-4B7A-8064-36DF3AE5ACA3,nvd@nist.gov,2024-02-15T21:06:48.087,Changed,Evaluator Description,string,string,True,Per: http://cwe.mitre.org/data/definitions/416.htmlhttp://cwe.mitre.org/data/definitions/416.html CWE-416: Use After Free,Per: http://cwe.mitre.org/data/definitions/416.htmlhttp://cwe.mitre.org/data/definitions/416.html CWE-416: Use After Free
data\raw\nvd\history\20240101_20240429_0010000.json,CVE-2019-13720,CVE CISA KEV Update,4ED88FAE-857E-4F59-84E0-355036C50C09,9119a7d8-5eab-497f-8521-727c672e3725,2024-02-15T02:00:01.827,Changed,Vulnerability Name,string,string,False,Google Chrome Use-After-Free Vulnerability,Google Chrome WebAudio Use-After-Free Vulnerability
data\raw\nvd\history\20240101_20240429_0010000.json,CVE-2019-5786,CVE CISA KEV Update,8FDFD432-4F75-4F0E-ABA5-519DF592C75D,9119a7d8-5eab-497f-8521-727c672e3725,2024-02-15T02:00:01.960,Changed,Vulnerability Name,string,string,False,Google Chrome Use-After-Free Vulnerability,Google Chrome Blink Use-After-Free Vulnerability
data\raw\nvd\history\20240101_20240429_0010000.json,CVE-2020-15999,CVE CISA KEV Update,659266B6-E0BE-4157-9A39-C57E3FD014F0,9119a7d8-5eab-497f-8521-727c672e3725,2024-02-15T02:00:02.063,Changed,Vulnerability Name,string,string,False,Google Chrome Heap Buffer Overflow Vulnerability,Google Chrome FreeType Heap Buffer Overflow Vulnerability
data\raw\nvd\history\20240101_20240429_0010000.json,CVE-2020-16010,CVE CISA KEV Update,9F726BD9-33E5-4A2C-B6AE-05BA85AC0C79,9119a7d8-5eab-497f-8521-727c672e3725,2024-02-15T02:00:02.180,Changed,Vulnerability Name,string,string,False,Google Chrome for Android Heap Buffer Overflow Vulnerability,Google Chrome for Android UI Heap Buffer Overflow Vulnerability
data\raw\nvd\history\20240101_20240429_0010000.json,CVE-2020-6572,CVE CISA KEV Update,CBCAFCEA-66C4-48DA-91ED-9AB6A58ED95A,9119a7d8-5eab-497f-8521-727c672e3725,2024-02-15T02:00:02.277,Changed,Vulnerability Name,string,string,False,Google Chrome Prior to 81.0.4044.92 Use-After-Free Vulnerability,Google Chrome Media Prior to 81.0.4044.92 Use-After-Free Vulnerability
data\raw\nvd\history\20240101_20240429_0035000.json,CVE-2024-3400,CVE CISA KEV Update,B42D736C-3127-46C8-A012-5F6920B8EF36,9119a7d8-5eab-497f-8521-727c672e3725,2024-04-16T01:00:01.557,Changed,Required Action,string,string,False,"Users of affected devices should enable Threat Prevention Threat ID 95187 if that is available, otherwise, disable device telemetry until patches are available from the vendor, per vendor instructions.","Apply mitigations per vendor instructions as they become available. Otherwise, users with vulnerable versions of affected devices should enable Threat Prevention Threat ID 95187 if that is available, or disable device telemetry until patches are available from the vendor. See the vendor bulletin for more details and a patch release schedule."
data\raw\nvd\history\20240101_20240429_0035000.json,CVE-2024-3400,CVE CISA KEV Update,4B861AA7-887C-4FB8-8648-0470B0C83871,9119a7d8-5eab-497f-8521-727c672e3725,2024-04-18T01:00:01.590,Changed,Required Action,string,string,False,"Apply mitigations per vendor instructions as they become available. Otherwise, users with vulnerable versions of affected devices should enable Threat Prevention Threat ID 95187 if that is available, or disable device telemetry until patches are available from the vendor. See the vendor bulletin for more details and a patch release schedule.","Apply mitigations per vendor instructions as they become available. Otherwise, users with vulnerable versions of affected devices should enable Threat Prevention IDs available from the vendor. See the vendor bulletin for more details and a patch release schedule."
data\raw\nvd\history\20240828_20241225_0000000.json,CVE-2022-38028,CVE CISA KEV Update,EFA1D0CD-ECC6-4F79-A0C2-D35DE40E0BB5,9119a7d8-5eab-497f-8521-727c672e3725,2024-09-11T01:00:01.297,Changed,Required Action,string,string,True,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.
data\raw\nvd\history\20240828_20241225_0005000.json,CVE-2019-1069,CVE CISA KEV Update,F1FFF475-A695-4E2C-A662-267D65C8D077,9119a7d8-5eab-497f-8521-727c672e3725,2024-09-19T01:00:03.257,Changed,Required Action,string,string,False,Apply updates per vendor instructions.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.
data\raw\nvd\history\20240828_20241225_0005000.json,CVE-2019-1069,CVE CISA KEV Update,4C5BD64C-F059-4C85-814F-88F203CD4FA1,9119a7d8-5eab-497f-8521-727c672e3725,2024-09-20T01:00:01.483,Changed,Required Action,string,string,False,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,Apply updates per vendor instructions.
data\raw\nvd\history\20240430_20240827_0250000.json,CVE-2023-36268,CVE Source Update,FC3CDCDA-049D-44E5-A842-3CDACEA404E8,security@documentfoundation.org,2024-05-31T18:15:09.157,Changed,Source,string,string,False,MITRE,"Document Foundation, The"
data\raw\nvd\history\20240430_20240827_0255000.json,CVE-2024-37694,CVE Source Update,98708BE3-B5E0-495D-B3CB-22C5C12583CB,psirt@esri.com,2024-06-27T17:15:10.183,Changed,Source,string,string,False,MITRE,"Environmental Systems Research Institute, Inc."
data\raw\nvd\history\20240828_20241225_0000000.json,CVE-2024-45440,CVE Source Update,71AAB63E-E903-4037-B529-A4152AF3D7CE,mlhess@drupal.org,2024-09-12T16:15:06.943,Changed,Source,string,string,False,MITRE,Drupal.org
data\raw\nvd\history\20240828_20241225_0010000.json,CVE-2024-43167,CVE Source Update,9F162270-6880-4D10-BF10-50533DCFA17D,sep@nlnetlabs.nl,2024-10-21T12:15:03.837,Changed,Source,string,string,False,"Red Hat, Inc.",NLnet Labs
data\raw\nvd\history\20240828_20241225_0010000.json,CVE-2024-43168,CVE Source Update,6DD4E10B-0E80-4228-AB13-79D05539FFFB,sep@nlnetlabs.nl,2024-10-21T12:15:04.327,Changed,Source,string,string,False,"Red Hat, Inc.",NLnet Labs
data\raw\nvd\history\20240828_20241225_0005000.json,CVE-2019-1069,CVE CISA KEV Update,F1FFF475-A695-4E2C-A662-267D65C8D077,9119a7d8-5eab-497f-8521-727c672e3725,2024-09-19T01:00:03.257,Changed,Date Added,string,string,False,2022-03-15,2024-09-18
data\raw\nvd\history\20240828_20241225_0005000.json,CVE-2019-1069,CVE CISA KEV Update,4C5BD64C-F059-4C85-814F-88F203CD4FA1,9119a7d8-5eab-497f-8521-727c672e3725,2024-09-20T01:00:01.483,Changed,Date Added,string,string,False,2024-09-18,2022-03-15
data\raw\nvd\history\20260420_20260817_0705000.json,CVE-2025-62593,CVE CISA KEV Update,8D833AAC-E9A7-424A-9FDB-3C11245F5104,9119a7d8-5eab-497f-8521-727c672e3725,2026-08-17T19:00:00.900,Changed,Date Added,string,string,False,2026-08-18,2026-08-17
data\raw\nvd\history\20260420_20260817_0035000.json,CVE-2025-14485,Data Remediation,C95FB0D9-FAAD-4FC4-BE97-4F3B0EE7002F,nvd@nist.gov,2026-04-29T01:00:01.613,Changed,CVSS V4.0 Score,string,string,False,2.3,1.3
data\raw\nvd\history\20260420_20260817_0035000.json,CVE-2023-7096,Data Remediation,88921FF6-C146-4F79-993F-D731EEEF3AB1,nvd@nist.gov,2026-04-29T01:00:01.613,Changed,CVSS V4.0 Score,string,string,False,5.1,2
data\raw\nvd\history\20260420_20260817_0035000.json,CVE-2025-13544,Data Remediation,2C8F2407-70D6-4305-8EFF-8F82BD851141,nvd@nist.gov,2026-04-29T01:00:01.613,Changed,CVSS V4.0 Score,string,string,False,5.3,2.1
data\raw\nvd\history\20260420_20260817_0035000.json,CVE-2025-14538,Data Remediation,F0FC0AE8-4D94-46FB-A54E-4486B993E65F,nvd@nist.gov,2026-04-29T01:00:01.613,Changed,CVSS V4.0 Score,string,string,False,5.1,2
data\raw\nvd\history\20260420_20260817_0035000.json,CVE-2025-14284,Data Remediation,4E5971EA-3CDA-4855-8032-9F9FC011BF8B,nvd@nist.gov,2026-04-29T01:00:01.613,Changed,CVSS V4.0 Score,string,string,False,5.1,2
data\raw\nvd\history\20260420_20260817_0620000.json,CVE-2024-22447,CVE Modified,EC1772B9-F05A-48E5-8F37-909973C2FF92,134c704f-9b21-4f2e-91b3-4a467353bcc0,2026-06-17T13:19:10.523,Changed,SSVC,dict,dict,False,"{""id"":""CVE-2024-22447"",""options"":[{""exploitation"":""none""},{""automatable"":""no""},{""technicalImpact"":""total""}],""role"":""CISA Coordinator"",""timestamp"":""2026-06-16T14:58:44.096268Z"",""version"":""2.0.3""}","{""id"":""CVE-2024-22447"",""options"":[{""exploitation"":""none""},{""automatable"":""no""},{""technicalImpact"":""total""}],""role"":""CISA Coordinator"",""timestamp"":""2026-06-16T00:00:00+00:00"",""version"":""2.0.3""}"
data\raw\nvd\history\20260420_20260817_0620000.json,CVE-2024-22451,CVE Modified,57AD5546-14E3-416A-91BC-CC1BB8C5B856,134c704f-9b21-4f2e-91b3-4a467353bcc0,2026-06-17T13:19:10.693,Changed,SSVC,dict,dict,False,"{""id"":""CVE-2024-22451"",""options"":[{""exploitation"":""none""},{""automatable"":""no""},{""technicalImpact"":""total""}],""role"":""CISA Coordinator"",""timestamp"":""2026-06-16T18:01:49.292846Z"",""version"":""2.0.3""}","{""id"":""CVE-2024-22451"",""options"":[{""exploitation"":""none""},{""automatable"":""no""},{""technicalImpact"":""total""}],""role"":""CISA Coordinator"",""timestamp"":""2026-06-16T00:00:00+00:00"",""version"":""2.0.3""}"
data\raw\nvd\history\20260420_20260817_0625000.json,CVE-2026-0137,CVE Modified,2E50A499-CA54-4086-A914-E4BFBBEC0C76,134c704f-9b21-4f2e-91b3-4a467353bcc0,2026-06-17T13:19:29.100,Changed,SSVC,dict,dict,False,"{""id"":""CVE-2026-0137"",""options"":[{""exploitation"":""none""},{""automatable"":""no""},{""technicalImpact"":""total""}],""role"":""CISA Coordinator"",""timestamp"":""2026-06-16T20:19:47.907458Z"",""version"":""2.0.3""}","{""id"":""CVE-2026-0137"",""options"":[{""exploitation"":""none""},{""automatable"":""no""},{""technicalImpact"":""total""}],""role"":""CISA Coordinator"",""timestamp"":""2026-06-16T00:00:00+00:00"",""version"":""2.0.3""}"
