cve_id,cvss_version,source_key,removed_event_id,added_event_id,removed_at,added_at,gap_days,old_vector,new_vector,changed_components,year
CVE-2024-34371,3.1,audit@patchstack.com,5DB9E6E5-44A5-47D3-B382-552522A68DB2#1,0C8234B2-2A7C-4C66-8E79-D04A572B8FEE#0,2026-04-01T16:17:10.720000+00:00,2026-04-23T15:18:24.480000+00:00,21.959,AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,"PR,UI",2026
CVE-2024-37082,3.1,security@vmware.com,76CEE0B8-0417-4678-B3E5-EA9D86986A36#1,07AF24EF-3BFF-49BD-9398-E12B2E44B89E#0,2024-07-12T16:15:03.040000+00:00,2024-07-12T17:15:10.220000+00:00,0.042,AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,"A,AC,S",2024
CVE-2024-37422,3.1,audit@patchstack.com,9BBD31B8-7D14-4F28-A436-92569EC602C0#1,3CEB0874-11BC-4963-B846-0D8AE9772C26#0,2026-04-01T16:17:25.160000+00:00,2026-04-23T15:18:36.713000+00:00,21.959,AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:L,AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:L,PR,2026
CVE-2024-39924,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,BC7490E7-3F99-4FA9-90EB-117B96B755DC#0,F1D5305A-5CA1-4743-979A-33BB8A003C3C#0,2025-01-09T18:15:27.987000+00:00,2025-03-18T20:15:22.283000+00:00,68.083,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"A,C,PR",2025
CVE-2024-39925,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,6FA890E8-2EFE-4828-80D8-0DDB315E90AD#0,7F5B513A-3184-433D-BC9C-9D6682710967#0,2025-01-09T18:15:28.117000+00:00,2025-03-22T14:15:14.477000+00:00,71.833,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"C,I,PR",2025
CVE-2024-39926,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,7024A71F-8360-4C57-9EE2-4AE41EDDEDE6#0,66C0ED60-D979-40D0-85E5-C1C3CA71DF21#0,2025-01-09T18:15:28.220000+00:00,2025-03-18T19:15:43.093000+00:00,68.042,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,"C,I,PR,S,UI",2025
CVE-2024-40530,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,81022B8E-0FF2-4A76-AF2E-42D35135C5A2#0,A86E148A-0692-448E-80AF-97103B25E5F4#0,2025-01-09T20:15:37.910000+00:00,2025-03-24T16:15:18.583000+00:00,73.833,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,"A,C",2025
CVE-2024-43214,3.1,audit@patchstack.com,FD0ABDB3-B211-4759-A168-960BC277490F#1,891DB81C-B9DB-45C2-B2BD-8E6310D7B59C#0,2026-04-01T16:17:40.670000+00:00,2026-04-23T15:18:50.347000+00:00,21.959,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,"C,I",2026
CVE-2024-43306,3.1,audit@patchstack.com,285AEDA4-D15B-4E5A-ADEC-E3C511841B9E#1,31B62E08-309B-40FD-B2B9-2515EFDC7EDE#0,2026-04-01T16:17:44.370000+00:00,2026-04-23T15:18:53.950000+00:00,21.959,AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L,AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:L,PR,2026
CVE-2024-43977,3.1,audit@patchstack.com,3662F699-2CF6-449C-89C5-28717A64BD98#1,79207E9D-1BB2-4396-BAD2-CBF4A15F913F#0,2026-04-01T16:17:47.340000+00:00,2026-04-23T15:18:56.947000+00:00,21.959,AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:L,AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:L,PR,2026
CVE-2024-44083,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,D138BA07-D0C0-4270-81FB-96B3BD0EBA97#0,2A037EBB-BFE5-4458-ADAD-53D05005E9CC#0,2025-01-09T20:15:38.220000+00:00,2025-03-18T21:15:29.613000+00:00,68.042,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"C,I",2025
CVE-2024-47337,3.1,audit@patchstack.com,A8171388-3567-4E31-AF8E-F52AD2776833#1,BFE533D6-8BAB-4822-9F3F-A3C4BB1627A9#0,2026-04-01T16:18:07.100000+00:00,2026-04-23T15:19:11.530000+00:00,21.959,AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,"PR,UI",2026
CVE-2024-47338,3.1,audit@patchstack.com,F40D2D14-7BEF-47BB-8B43-94EFFE947ABA#1,742B0F23-58D8-48FC-A6AF-59890CE1EF01#0,2026-04-01T16:18:07.233000+00:00,2026-04-23T15:19:11.650000+00:00,21.959,AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:L,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:L,PR,2026
CVE-2024-47634,3.1,audit@patchstack.com,5BCD0AFB-65A9-49C3-84A8-F09910B7B7C2#1,F4C7F1C9-4B77-4A76-92A2-5987D013E37A#0,2026-04-01T16:18:18.353000+00:00,2026-04-23T15:19:23.413000+00:00,21.959,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:L,UI,2026
CVE-2024-47891,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,3FF48262-35FB-45D7-9745-B8CF0F623F9F#0,506ED02F-12F3-47F0-A3E6-EE230CEE690C#0,2025-02-18T19:15:16.843000+00:00,2025-03-18T21:15:30.533000+00:00,28.083,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"AV,PR",2025
CVE-2024-48955,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,DA0DA771-8484-40D7-A9E7-2682A7A57369#0,C90F0D0C-5CD9-4F3D-A4AE-A67ED622DD12#0,2025-01-09T18:15:29.147000+00:00,2025-03-18T19:15:45.317000+00:00,68.042,AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,"PR,UI",2025
CVE-2024-49227,3.1,audit@patchstack.com,3702E4CA-15C4-4B1D-BD46-9EBB4409D90B#1,0956B0BF-C312-4A38-8C7D-F1CAE03AD357#0,2026-04-01T16:18:27.260000+00:00,2026-04-29T10:16:34.700000+00:00,27.749,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,PR,2026
CVE-2024-49273,3.1,audit@patchstack.com,A2AD645C-3692-4CBF-A829-F46DF9763C7F#1,B2728D92-E890-489A-BD7D-0915D80543AD#0,2026-04-01T16:18:34.753000+00:00,2026-04-23T15:19:33.313000+00:00,21.959,AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,"PR,UI",2026
CVE-2024-49278,3.1,audit@patchstack.com,E6353737-A078-4543-9BC5-EE5E13AF0E8A#1,F8B63105-8724-4BA8-A83B-0B9602315B70#0,2026-04-01T16:18:35.453000+00:00,2026-04-23T15:19:33.930000+00:00,21.959,AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:L,AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L,PR,2026
CVE-2024-49306,3.1,audit@patchstack.com,2650E419-F0E9-4AFE-85C3-41C779D5D471#1,D8D65698-6EA0-4439-9EF8-6D1D467068B9#0,2026-04-01T16:18:38.807000+00:00,2026-04-23T15:19:37.220000+00:00,21.959,AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,UI,2026
CVE-2024-49736,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,5E59A5CC-BD12-46D4-A9E7-1CBDE463A662#0,84BFF45A-99EB-4E3F-8052-71FC2209E3A1#0,2025-02-18T20:15:20.373000+00:00,2025-03-24T16:15:19.087000+00:00,33.833,AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,"C,I",2025
CVE-2024-50434,3.1,audit@patchstack.com,698B0FA7-698B-4BD9-80A7-D6683C118903#1,3E1E0F51-285C-490C-AA22-C881C340CC27#0,2026-04-01T16:19:04.013000+00:00,2026-04-23T15:19:56.700000+00:00,21.959,AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,"PR,UI",2026
CVE-2024-50435,3.1,audit@patchstack.com,F7F2A3FB-00FC-4FA7-B87E-C16ABD6C939C#1,D70DD069-A16B-4293-A325-C7C8F2A9E21A#0,2026-04-01T16:19:04.160000+00:00,2026-04-23T15:19:56.827000+00:00,21.959,AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,"PR,UI",2026
CVE-2024-50436,3.1,audit@patchstack.com,51E211A3-AF57-4216-BB2E-855CC292A030#1,440A6112-09A5-4264-ACD4-B5A4F09D9DA5#0,2026-04-01T16:19:04.327000+00:00,2026-04-23T15:19:56.953000+00:00,21.959,AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,"PR,UI",2026
CVE-2024-50441,3.1,audit@patchstack.com,ADD6EF59-13EB-4682-BE76-903641C30A75#1,F77215F9-3FCC-4628-B5BA-5CF7A17003C7#0,2026-04-01T16:19:05.070000+00:00,2026-04-23T15:19:57.590000+00:00,21.959,AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:L/A:L,AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:L,UI,2026
CVE-2024-51162,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,B11D7C4E-4B9D-45F6-BBCF-3BD9C9890DEF#0,ABA27A40-D9F5-4054-941A-A88E5ADC84F5#0,2025-01-09T22:15:28.777000+00:00,2025-03-17T15:15:42.383000+00:00,66.708,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-51676,3.1,audit@patchstack.com,E7974DD4-B2DB-4C39-AB8C-108F880994A9#1,8C06648A-5909-4FA6-9804-F23434C4D3B6#0,2026-04-01T16:19:35.563000+00:00,2026-04-23T15:20:32.287000+00:00,21.959,AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L,AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:L,PR,2026
CVE-2024-53537,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,5F4B582F-6B03-4968-88EB-EA06AD378715#0,8084A82A-EB75-4ECE-96F4-E1C344865FE8#0,2025-02-18T19:15:18.083000+00:00,2025-03-20T15:15:43.490000+00:00,29.834,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,I,2025
CVE-2024-53920,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,72B87BC0-8106-450E-A581-EBED066312A4#0,86BB2830-BDE0-4780-81ED-526CA2905CFB#0,2025-03-04T22:15:38.610000+00:00,2025-03-13T20:15:23.877000+00:00,8.916,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"AV,UI",2025
CVE-2024-54507,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,2ECF04BF-899E-45D7-AD64-070165C1B3C6#0,B9ADDE47-10B4-4FDA-8D89-866395281936#0,2025-02-18T20:15:21.580000+00:00,2025-03-14T17:15:48.453000+00:00,23.875,AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,"A,AV,PR",2025
CVE-2024-54520,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,A86EB01D-CE4D-4729-AC6C-305EE765F15C#0,F3305755-6FBA-414F-89AE-D8EC09C3B7FE#0,2025-02-18T20:15:21.663000+00:00,2025-03-24T18:15:20.637000+00:00,33.917,AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,"PR,UI",2025
CVE-2024-54523,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,7979DCFA-6546-4B60-8ED0-1EB6C008D3E4#0,312C0409-64D3-48F5-B454-E78AC5390404#0,2025-02-18T19:15:18.747000+00:00,2025-03-19T15:15:52.097000+00:00,28.834,AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:L/A:N,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,"A,C,I,S",2025
CVE-2024-54542,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,D7CA3A7B-6743-4AF9-A84B-807F4EBC489A#0,A7828250-CB2C-42DE-8AB4-37EF0B713851#0,2025-02-18T20:15:22.007000+00:00,2025-03-17T17:15:34.087000+00:00,26.875,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,A,2025
CVE-2024-56527,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,0B3364EE-1C87-4F31-AEC9-B5E0B96F0AED#0,25FBCEE9-7B87-4EB5-8B50-8D7516974A1D#0,2025-02-18T22:15:13.270000+00:00,2025-03-13T14:15:33.533000+00:00,22.667,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"A,C",2025
CVE-2024-56529,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,FBB14A98-9E1D-45C2-889E-FC5DFC817DE3#0,EEA62C9B-E255-4019-B7B5-2000D5CDD8CC#0,2025-02-18T19:15:19.587000+00:00,2025-03-14T17:15:48.860000+00:00,23.917,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:H/A:N,"A,C,I,UI",2025
CVE-2024-56898,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,E698CCD4-1479-4FDC-85C2-AC0C686AE2FF#0,AB824997-FC60-44CA-9015-1BB0C8B56B6D#0,2025-03-04T22:15:38.990000+00:00,2025-03-22T14:15:15.590000+00:00,17.666,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,A,2025
CVE-2024-56902,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,F09E22BB-C84E-4652-BECB-54D9CE169E07#0,160DA5E3-3D75-4FB6-BB01-EB6010B06B31#0,2025-02-18T19:15:20+00:00,2025-03-04T22:15:39.340000+00:00,14.125,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,PR,2025
CVE-2024-56903,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,A004A722-AF3C-40AB-89B4-44C17C57911D#0,62F2499F-0054-4399-B488-AF43656061DB#0,2025-02-18T19:15:20.117000+00:00,2025-03-04T22:15:39.547000+00:00,14.125,AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:H,C,2025
CVE-2024-57011,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,D7E5C90B-DEE5-4B37-9EB0-6A0C75E071ED#0,FACAD341-6F72-45D7-BB0B-7000D1C876A5#0,2025-02-18T22:15:13.390000+00:00,2025-03-17T17:15:34.950000+00:00,26.792,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-57012,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,CAB3D775-D210-4AFB-B5FD-1DBF1F6199BD#0,7697FF16-D8D9-460B-BD06-4B9155D6AA39#0,2025-02-18T22:15:13.507000+00:00,2025-03-14T16:15:37.603000+00:00,23.75,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-57013,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,85DD76AF-35FB-4DE6-BDB9-652856AB9DDC#0,FF9712F7-06C8-425B-98FD-4C6F878046FC#0,2025-02-18T22:15:13.610000+00:00,2025-03-13T15:15:49.867000+00:00,22.709,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-57014,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,9E8FF245-971B-411E-A5C8-134C2CF02577#0,43F9C283-50BD-42F8-A36F-A60A61954A05#0,2025-02-18T22:15:13.713000+00:00,2025-03-18T15:15:58.283000+00:00,27.709,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"AV,PR",2025
CVE-2024-57015,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,C676F64F-6BEB-4294-93F8-B819120EF634#0,EEC8AFB1-CFDB-4AAE-A126-FDB5BBE3DEF3#0,2025-02-18T22:15:13.827000+00:00,2025-03-18T14:15:41.020000+00:00,27.667,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-57016,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,FC593AA9-98F6-42CB-AE72-2ADD2A7D6850#0,2D7BA5B4-73FD-4313-90BA-E2D78BF2273F#0,2025-02-18T22:15:13.920000+00:00,2025-03-24T16:15:20.467000+00:00,33.75,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-57017,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,C03A6BE9-6B15-489A-A615-025B8BAC1D61#0,AD978968-46AC-423D-9DE5-938424E664EE#0,2025-02-18T22:15:14.033000+00:00,2025-03-13T15:15:50.090000+00:00,22.709,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-57018,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,501FD953-AB4D-42CA-9947-B600BB386AE6#0,F7ABF000-06B7-4BC6-89D2-593D45AB542E#0,2025-02-18T22:15:14.133000+00:00,2025-03-13T15:15:50.280000+00:00,22.709,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-57019,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,978C528E-27E5-4544-A537-07B716CBCCA5#0,91057011-B499-4F7C-84F0-199D432BEE30#0,2025-02-18T22:15:14.240000+00:00,2025-03-18T20:15:24.637000+00:00,27.917,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-57020,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,B0667B29-ECCF-4D63-8E95-47041D57C59A#0,9C362280-C9FB-4843-80BA-5129CF767EBB#0,2025-02-18T22:15:14.347000+00:00,2025-03-18T19:15:46.330000+00:00,27.875,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-57021,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,A33BCB2C-0853-4E47-9EDC-C26FF9D65946#0,F4C63A20-E0A8-478F-921A-158AA9635701#0,2025-02-18T22:15:14.447000+00:00,2025-03-20T15:15:43.837000+00:00,29.709,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-57022,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,3482FD5D-994A-4D44-AA9F-716248F5EAF2#0,D740E31A-0185-4C8A-858E-4CFFA6485B30#0,2025-02-18T22:15:14.553000+00:00,2025-03-19T14:15:38.007000+00:00,28.667,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,PR,2025
CVE-2024-57082,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,01197550-E00D-4AD4-82C3-826323A293BD#0,8BE5E23A-A0C2-4754-B7A9-E39289AD44DD#0,2025-02-18T19:15:21.257000+00:00,2025-02-18T20:15:22.483000+00:00,0.042,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,AV,2025
CVE-2024-57360,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,04201235-C8D4-4643-8FE5-AF7D5E836BBB#0,856B55AB-5E12-4535-B00B-146C038C983E#0,2025-02-18T21:15:23.853000+00:00,2025-03-18T16:15:25.340000+00:00,27.792,AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,"C,UI",2025
CVE-2024-57432,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,87CE64EF-C339-4326-9A3A-94AF25C65286#0,9E8C792A-B593-4627-849C-E03B292C7422#0,2025-02-18T19:15:21.710000+00:00,2025-03-13T14:15:34.393000+00:00,22.792,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,I,2025
